URL,Title,Address,Description
https://newyork.craigslist.org/brk/egr/d/nys-licensed-architect-or-pe/6785520107.html,NYS Licensed Architect or PE,,"
        
Architectural Design and Consulting firm is looking for a NYS Licensed professional to review and consult on our projects. A great opportunity to become part of a knowledgeable and expending team experienced in residential and commercial projects.

Great opportunity to joint venture, we turn around over 100 project yearly and expending  


    "
https://newyork.craigslist.org/mnh/egr/d/new-york-city-senior-mep-design/6784974935.html,Senior MEP Design Engineers - Mech/Elec/Plumb-FP,Midtown West,"
        
Ettinger Engineering Associates has openings for experienced Senior level Mechanical, Electrical, and Plumbing/Fire Protection engineers who are experienced in systems design, creating plans, schematics, equipment selection & calculations, response to shop drawings/submittals/RFIs, systems narratives and specifications.

General Qualifications include:
-A B.S. in Engineering and a number of years of experience in MEP Electrical+Fire Alarm field.
-Must be familiar with local building codes & NEC.
-Must be experienced with both AutoCad and Revit.
-Proficiency in MSOFFICE & Google Drive tools.
-Must be a strong communicator and have strong writing and interpersonal skills.
-Must be able to seek information when needed and be a self-starter.
-Well organized and energetic.

Compensation and Benefits:
We offer a competitive salary based on the candidate's experience and credentials
Medical, vision and dental insurance offered with substantial contributions by the firm
Disability insurance for the employee paid for by the Firm
401k plan with firm matching schedule.
PTO schedule increases with years of service
Paid holidays

Send resume labeled with your first and last name.
Send minimum salary requirement
Must be authorized to work in United States
NO CALLS.

EEA Culture
EEA is a mid-size firm with enough capability, experience and resource to take on the largest of development projects. At the same time, our company is organized in smaller studios which provide for numerous client and employee benefits. As an example of an outward benefit, our studio model ensures that repeat clients interact with consistent managerial and engineering staff that is familiar with client operational models, expectations, norms, etc. Inwardly, studios and the smaller project teams within them, allow our employees to form tight-knit and collegial professional relationships, allow for seamless work sharing and more.

Beyond a culture which rewards excellence, ""sets the bar high"", and strives to consistently and relentlessly exceed expectations, our internal culture is centered around five additional tenets:

Staff Appreciation - People Are Our Most Valuable Asset
Professional Development - Your Growth is Shared Growth
Flexibility
Environmental Consciousness
Diversity

Read more about us at: 

Equal Opportunity Employer

Job Type: Full-time
    "
https://newyork.craigslist.org/mnh/egr/d/mid-level-electrical-engineers-2-years/6784983507.html,Mid Level Electrical Engineers (2+ Years-with REVIT),Midtown West,"
        
For 50 years Ettinger Engineering Associates, a premier MEP/FP consulting engineering firm located in midtown Manhattan has been partnering with select developers, architects, institutions and municipal agencies to provide exceptional building design and application services for a variety of sectors for projects of  varying size and complexities.

Currently we have openings for experienced mid-level electrical engineers who are experienced in systems design, creating plans, schematics, equipment selection, load calculations, response to shop drawings/submittals/RFIs, systems narratives and specifications etc

These positions will provide an opportunity to work as a part of a multi-disciplined project team and interface with and take direction from high-level company management on a wide variety of tasks.
Applicant must be able to manage multiple competing priorities successfully with little oversight.

General Qualifications include:
A B.S. in Engineering and 2+ years experience in MEP Electrical engineering field.
Must be familiar with local building codes.
Must be experienced with both AutoCad and Revit.
Proficiency in MSOFFICE & Google Drive tools.
Must be a strong communicator and have strong writing and interpersonal skills.
Must be able to seek information when needed and be a self-starter.
Well organized and energetic.
Familiarity with design of all MEP trades and PMI and/or EIT and/or PE, and/or LEED AP and/or PMP a plus
Project Management and/or direct supervisory experience a plus
Must be willing to work overtime and meet project deadlines.

Send resume labeled with your first and last name.
Send minimum salary requirement

Compensation and Benefits:
We offer a competitive salary based on the candidate's experience and credentials
Medical, vision and dental insurance offered with substantial contributions by the firm
Disability insurance for the employee paid for by the Firm
401k plan with firm matching schedule.
PTO schedule increases with years of service
Paid holidays

EEA Culture
EEA is a mid-size firm with enough capability, experience and resource to take on the largest of development projects. At the same time, our company is organized in smaller studios which provide for numerous client and employee benefits. As an example of an outward benefit, our studio model ensures that repeat clients interact with consistent managerial and engineering staff that is familiar with client operational models, expectations, norms, etc. Inwardly, studios and the smaller project teams within them, allow our employees to form tight-knit and collegial professional relationships, allow for seamless work sharing and more.

Beyond a culture which rewards excellence, ""sets the bar high"", and strives to consistently and relentlessly exceed expectations, our internal culture is centered around five additional tenets:

Staff Appreciation - People Are Our Most Valuable Asset
Professional Development - Your Growth is Shared Growth
Flexibility
Environmental Consciousness
Diversity

Read more about us at: 

Send resume file labeled with your full name
Send minimum salary requirements

Candidates must be authorized to work in the USA

NO CALLS
Equal Opportunity Employer 


    "
https://newyork.craigslist.org/brk/egr/d/brooklyn-electronics-geek-wanted-for/6784229480.html,"Electronics Geek Wanted for Super-Relaxed, Easy AF Job","Williamsburg, Brooklyn","
        
We are looking for an organized and hard-working individual to assist in our office with fixing small electronics, soldiering, troubleshooting, and general administrative tasks. Mainly we are seeking someone who loves tinkering with electronics and taking things apart to see how they work.  If you've ever been known to disassemble various electronics in your home as a wee lad, forcing your parents to call the repairman again and again, this may just be the job for you.  But forreals, we are looking for someone who doesn't mind doing simple, mindless tasks while hanging out and listening to music, podcasts, the news, whatever, whilst bullshitting with coworkers and giving out generally good vibes.

You might think terms such as ""efficiency"" and ""work ethic"" would come first... but alas, we are a small company, so firstly you must be someone whom we wouldn't mind spending the day with.

We are an internet-based retail company in the institutional sales market. We offer weekly paychecks, a relaxed work environment, great work hours, blah blah blah

IDEAL CANDIDATES POSSESS:
- Boundless, child-like curiosity and genuine interest in consumer electronics repair (by far the sexiest of all the repairs)
- Ability to perform quickly in a HIGHLY ORGANIZED AND DETAILED MANNER
- Up-to-date knowledge of current reddit gossip, DANK MEMES
- High attention to DETAIL (We need to ensure that our customer's receive the right product in the proper condition)
- Proactive and energetic with a POSITIVE ATTITUDE (i.e., not an asshole)

REQUIRED:
- A Bachelor's Degree from a decent school
- Ability to arrive ON TIME
- Not sketchy

Ideal candidates also possess:
- Ability to work independently
- Decent taste in music (any requests for ""Light FM"" will result in immediate termination)
- Lulz

We are located a lovely walk from the L and G trains, near McCarren Park in Williamsburg (close to Greenpoint). Hours are 9am to 5pm, Monday through Friday.

For consideration, please submit:
- Complete resume, including employment, educational history, any interesting skills and/or magical abilities
- 2 or 3 references from recent employers (and no, your dad's business doesn't count)
- A short paragraph explaining why you believe you would be a great fit for this terrible job    "
https://newyork.craigslist.org/que/egr/d/change-your-career-earn-up-to-120k/6783789407.html,CHANGE YOUR CAREER: EARN up to $120K+ CLOSING IN-HOME SALES,"Maspeth, NY","
        
Busy HVAC contracting company seeking self-organized, efficient and motivated individual to join our team of Sales Reps / Product Specialists. CHANGE YOUR CAREER: EARN up to $100K, or even more, CLOSING IN-HOME SALES

We are a growing company specializing in residential in-home sales of ductless high efficiency heating and cooling comfort systems. The ductless heating and cooling systems is a growing segment in HVAC industry, sales are on the rise. Learn about our company and these systems (product) at 

We offer:
- Compensated pre-employment training
- Commissions/Draw plus compensation for own car use, gas and own phone (company may provide a vehicle)
- Company computer, related equipment, EzPass
- Pre-qualified confirmed leads (no cold calling)
- Industry best product
- Stress-free friendly family-like environment
- Quarterly and annual performance bonus 
- No caps
- Growth opportunities into management positions

For more information and apply for position, please go to     "
https://newyork.craigslist.org/mnh/egr/d/plumbing-fire-protection-engineers-and/6784989247.html,Plumbing -Fire Protection Engineers and Designers-REVIT,Midtown West,"
        
For over 50 years Ettinger Engineering Associates, a premier MEP/FP consulting engineering firm located in midtown Manhattan has been partnering with select developers, architects, institutions and municipal agencies to provide exceptional building design and application services. 

Currently we offer excellent career opportunities to Plumbing and Fire Protection engineers and designers with proficiency in REVIT modeling and Autocad for the design of new and hi-mid and low-rise residential buildings, hotels, schools and more.

General Responsibilities Under Supervision of Senior Engineer/Project Managers include:
Design and layout of systems with minimal direction
Building inspections of existing services and trades (when appropriate) 
-Good sense of coordination and follow through.
-Possess sufficient knowledge of drawings consistent with instruction, guidelines, standards 
-Learn/be familiar with building codes
-Learn/be familiar with equipment and able to make basic selections 
-Ability to perform engineering calculations 

General Qualifications include:
A BS in Engineering, 2-3 years experience,  REVIT and Autocad proficiency required. Willing to be team player, seek knowledge from others, remain enthusiastic about work and being productive. Available to work overtime and meet project deadlines.

Compensation and Benefits:
We offer a competitive salary based on the candidate's experience and credentials
Medical, vision and dental insurance offered with substantial contributions by the firm
Disability insurance for the employee paid for by the Firm
401k plan with firm matching schedule.
PTO schedule increases with years of service
Paid holidays

EEA Culture
EEA is a mid-size firm with enough capability, experience and resource to take on the largest of development projects. At the same time, our company is organized in smaller studios which provide for numerous client and employee benefits. As an example of an outward benefit, our studio model ensures that repeat clients interact with consistent managerial and engineering staff that is familiar with client operational models, expectations, norms, etc. Inwardly, studios and the smaller project teams within them, allow our employees to form tight-knit and collegial professional relationships, allow for seamless work sharing and more.

Beyond a culture which rewards excellence, ""sets the bar high"", and strives to consistently and relentlessly exceed expectations, our internal culture is centered around five additional tenets:

Staff Appreciation - People Are Our Most Valuable Asset
Professional Development - Your Growth is Shared Growth
Flexibility
Environmental Consciousness
Diversity

Read more about us at: 

Send resume with minimum salary requirements.
Label resume file with your full name. 

Candidates must be authorized to work in USA

Equal Opportunity Employer

NO PHONE CALLS
    "
https://newyork.craigslist.org/mnh/egr/d/sr-project-pm-mep-engineers-mech-elec/6784968625.html,Sr. Project/PM MEP Engineers -MECH/ELEC/PL-FP,Midtown West,"
        
For over 50 years Ettinger Engineering Associates, a premier MEP/FP consulting engineering firm located in midtown Manhattan has been partnering with select developers, architects, institutions and municipal agencies to provide exceptional building design and application services. 

Currently we offer an excellent career opportunities for  Senior Level MEP Engineers with Project Management experience who will be responsible for project design with the ability to project manage including coordinating all trades for a diverse set of projects.

You will be expected to lead and provide intelligent building systems for a variety of project types in varying sizes and levels of complexity simultaneously.   Your responsibilities will also include creating plans, schematics, equipment selection, load calculations, response to shop drawings/submittals/RFIs, systems narratives and specifications etc.    

As a Project Manager, you will be expected to lead larger multi-discipline teams and resources and effectively manage project scopes, budget and scheduling/deadlines. 

General Qualifications include:
-A BS in Engineering and 5+ years of experience in building design
-EIT certificate and/or PE License preferred
-LEED GA or AP certification a plus
-PMI PMP Certification or similar preferred
-REVIT & CAD experience required
-Exceptional communication, writing and interpersonal skills
-Must be organized, energetic and accountable
-Must be able to work overtime to meet project deadlines
-Must have demonstrated familiarity with NYC and NYS building codes
-Proficiency in MSOFFICE & Google Drive tools
-Must be able to professionally represent the company to clients and agencies at meetings and through written correspondence.
-Must be able to demonstrate the ability to solve complex technical and project level problems

Compensation and Benefits:
We offer a competitive salary based on the candidate's experience and credentials
Medical, vision and dental insurance offered with substantial contributions by the firm
Disability insurance for the employee paid for by the Firm
401k plan with firm matching schedule.
PTO schedule increases with years of service
Paid holidays

EEA Culture
EEA is a mid-size firm with enough capability, experience and resource to take on the largest of development projects. At the same time, our company is organized in smaller studios which provide for numerous client and employee benefits. As an example of an outward benefit, our studio model ensures that repeat clients interact with consistent managerial and engineering staff that is familiar with client operational models, expectations, norms, etc. Inwardly, studios and the smaller project teams within them, allow our employees to form tight-knit and collegial professional relationships, allow for seamless work sharing and more.

Beyond a culture which rewards excellence, ""sets the bar high"", and strives to consistently and relentlessly exceed expectations, our internal culture is centered around five additional tenets:

Staff Appreciation - People Are Our Most Valuable Asset
Professional Development - Your Growth is Shared Growth
Flexibility
Environmental Consciousness
Diversity

Read more about us at: 

Send resume file labeled with your full name
Send minimum salary requirements

Candidates must be authorized to work in the USA

See our website at :
www.ettingerengineering.com

NO CALLS
Equal Opportunity Employer 

    "
https://newyork.craigslist.org/brk/egr/d/professional-wanted/6784620002.html,Professional wanted,NYC,"
        
Looking for design professionals within the architectural and engineering industry for the purpose of navigating drawings and plans from concept to realization for review and filing with municipal agencies    "
https://newyork.craigslist.org/lgi/egr/d/valley-stream-engineer-estimator/6784971993.html,Engineer/ Estimator/,Valley Stream,"
        
A Small growing Construction Firm.
Seeking Administrative assistant with knowledge of Architectural drawings , cost Estimation, assist in project estimating, submittals , and Field , understanding of excel, knowledge of estimation , drafting a plus. 
 Basic knowledge in this field is a plus.
We are looking some with Experience, or at least with skill to Estimate the projects.  
Also availability of sponsorship    "
https://newyork.craigslist.org/mnh/egr/d/new-york-city-construction/6783726652.html,Construction Superintendent for 6 Story Condo,Upper East Side,"
        
CM for Developer has Immediate opening for Experienced and Licensed Construction Superintendent for Core & Shell through Finish for High End Condo project in uptown Manhattan.

Hands-on Full Scope Oversight including:
•	Basic Layout all trades.
•	Direct Supervision of Carpentry Crew.
•	Coordinate installations by all M.E.P. Trades
•	Daily Site Reports Short Term Schedules
•	Site Safety Meetings and Safety Compliance per NYCDOB and OSHA requirements
•	Coordinate work by Millwork and Finish Trades 
•	Final Detailing through Staging 

Please respond with Resume and Salary Requirements. If you list your Salary Requirements as ""Negotiable"" we will not respond.

    "
