URL,Title,Address
https://newyork.craigslist.org/mnh/egr/d/lighting-project-manager/6777070763.html,Lighting Project Manager,Harlem / Morningside
https://newyork.craigslist.org/mnh/egr/d/part-time-license-engineer-and-master/6777038370.html,part time license engineer and master plumber,Chinatown / Lit Italy
https://newyork.craigslist.org/brk/egr/d/help-desgn-and-buld-devce-to-test-small/6776808550.html,Help Desıgn and Buıld a Devıce to Test Small Electronıcs,Wıllıamsburg
https://newyork.craigslist.org/jsy/egr/d/cad-drafter/6776602537.html,CAD DRAFTER,"UNION CITY, NJ"
https://newyork.craigslist.org/brk/egr/d/construction-manager/6776599049.html,Construction Manager,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/revit-designer-with-experience-wanted/6776517658.html,REVIT Designer with Experience WANTED,"Midtown, Manhattan"
https://newyork.craigslist.org/mnh/egr/d/mid-level-to-senior-level-project/6776324508.html,Mid-Level to Senior Level Project Manager/Architect,Midtown West
https://newyork.craigslist.org/mnh/egr/d/site-superintendent-construction/6776232000.html,Site SuperIntendent/ Construction Project Manager/ Violation Mgr,Midtown
https://newyork.craigslist.org/mnh/egr/d/electrical-estimator/6776217605.html,Electrical Estimator,NYC
https://newyork.craigslist.org/mnh/egr/d/jr-estimator-drafter-needed-in-lic/6776215665.html,Jr Estimator/Drafter needed in LIC,
https://newyork.craigslist.org/mnh/egr/d/stone-project-manager-senior-position/6776214938.html,Stone Project Manager - Senior Position,
https://newyork.craigslist.org/que/egr/d/engineering-architecture-positing/6775936741.html,Engineering/ Architecture Positing,"8012 30TH Avenue, East Elmhurst NY"
https://newyork.craigslist.org/brk/egr/d/junior-to-intermediate-architect/6775893510.html,Junior to Intermediate Architect,Brooklyn
https://newyork.craigslist.org/que/egr/d/design-assistant/6775620367.html,Design Assistant,Long island city
https://newyork.craigslist.org/mnh/egr/d/qa-inspector-heat-pumps/6775457120.html,QA Inspector - Heat Pumps,
https://newyork.craigslist.org/lgi/egr/d/architectural-drafter/6775457078.html,Architectural Drafter,"Huntington Station, NY"
https://newyork.craigslist.org/que/egr/d/construction-superintendent/6775434960.html,CONSTRUCTION SUPERINTENDENT,
https://newyork.craigslist.org/mnh/egr/d/senior-architect-designer/6775411588.html,Senior Architect/Designer,Midtown West
https://newyork.craigslist.org/mnh/egr/d/career-opportunities-for-immigrant/6775403707.html,Career Opportunities for Immigrant Engineer Professionals,
https://newyork.craigslist.org/wch/egr/d/window-door-drafter-needed/6775377048.html,Window & Door Drafter Needed,Yonkers
https://newyork.craigslist.org/mnh/egr/d/construction-super-apm-high-end/6775355369.html,Construction Super / APM / High End Residential,Upper West Side
https://newyork.craigslist.org/lgi/egr/d/project-architect/6775059637.html,PROJECT ARCHITECT,Melville
https://newyork.craigslist.org/mnh/egr/d/assistant-project-manager-for/6774821822.html,Assistant project Manager for Hospitality Builder,Midtown
https://newyork.craigslist.org/mnh/egr/d/seeking-full-time-class-2-permit/6774735029.html,Seeking Full Time Class 2 Permit Expeditor,TriBeCa
