Title,Address
Mechanical Designers,
Architectural Drafter,Spring Valley
NICET II Inspector,"Brooklyn, Queens, Staten Island"
ARCHITECT/DRAFTER,
Senior Architect,Chelsea
Head of Design and Construction,SoHo
Glazing Project Manager,Brooklyn
Kitchen Designer Wanted!,
HVAC Drafter,
HVAC Estimator,Maspeth
Architectural Consultant/Expediter,Downtown
Interior Designer & 3D Modeler - Hospitality,Midtown
Lighting Project Manager,Harlem / Morningside
part time license engineer and master plumber,Chinatown / Lit Italy
Help Desıgn and Buıld a Devıce to Test Small Electronıcs,Wıllıamsburg
CAD DRAFTER,"UNION CITY, NJ"
Construction Manager,Brooklyn
REVIT Designer with Experience WANTED,"Midtown, Manhattan"
Mid-Level to Senior Level Project Manager/Architect,Midtown West
Site SuperIntendent/ Construction Project Manager/ Violation Mgr,Midtown
Electrical Estimator,NYC
Jr Estimator/Drafter needed in LIC,
Stone Project Manager - Senior Position,
Engineering/ Architecture Positing,"8012 30TH Avenue, East Elmhurst NY"
Junior to Intermediate Architect,Brooklyn
Design Assistant,Long island city
QA Inspector - Heat Pumps,
Architectural Drafter,"Huntington Station, NY"
CONSTRUCTION SUPERINTENDENT,
Senior Architect/Designer,Midtown West
Career Opportunities for Immigrant Engineer Professionals,
Window & Door Drafter Needed,Yonkers
Construction Super / APM / High End Residential,Upper West Side
PROJECT ARCHITECT,Melville
Assistant project Manager for Hospitality Builder,Midtown
Seeking Full Time Class 2 Permit Expeditor,TriBeCa
AutoCAD/Revit Drafter --  $40-45k,TriBeCa
Architecture Intern,Chelsea
Jr. Construction Manager,Harlem / Morningside
Project Manager,queens
Intermediate Architect,Brooklyn
AutoCAD Drafter needed,"Paramus, NJ"
Small Architecture and Design Studio,Manhattan & Brooklyn
Facade / Building Envelope Junior Architect,TriBeCa
Facade / Building Envelope Project Architect,TriBeCa
Facade / Building Envelope Structural Project Engineer,TriBeCa
Facade / Building Envelope Architect,TriBeCa
Facade / Building Envelope Structural Engineer,TriBeCa
CAD Drafter (Engineering),"Morristown, NJ"
Junior Architect,Financial District
Estimator / Assistant Project Manager,
Senior Site SuperIntendent  /  Construction Project Manager,Midtown
Architect 3-10 Years' Experience,NEW YORK
APMs and Assistant Supers looking for growth?,"Thornwood, NY"
CHANGE YOUR CAREER: EARN up to $100K+ CLOSING IN-HOME SALES,"Maspeth, NY"
Mechanical Field Engineers (Building Construction),Astoria
AUTOCAD DRAFTER,BROOKLYN
Architects,Chelsea
Project Supervisor -- $40-50k,TriBeCa
Construction Manager,"Pittsburgh, Pennsylvania"
Architect,Walden
Estimator - Construction *ASAP*,Astoria
Draftsperson Detailer,Long Island City
Architectural & Interior Design Internship,
DOB Filing Rep / Expediter Part Time,Chelsea
"Hiring Architectural Designer, Sculptors, Clay Modelers",Brooklyn
Project Architect,NEW YORK
Architectural Project Manager,Midtown West
Testing and Balancing (TAB) Technician,Battery Park
Inside Sales Engineering Role (Salary/Full-Time),Lower Westchester
NYC DOB Expediters Seeking Class 2 Filing Rep,All Boroughs
Hiring an Intermediate/Senior Interior Designer,"Brooklyn, New York"
Restaurant Interior Design,New York
Mechanical Engineer,Hicksville
MATH Specialist,
Kitchen Designer Wanted!,
Stone Project Manager - Senior Position,
Stone Jr Estimator,
Junior Architect with Purchasing Experience,Midtown West
Project Architect(s),"Jamaica, Queens"
Structural Engineer (3-5 yrs Exp.),Queens
Construction Project Manager/Foreman-Bilingual in Chinese,Queens
Electrical Engineer,Midtown
Project Architect/Manager,Bayside
Superintendent - Heavy Construction,New York
Architectural  drafting person,
Autocad person wanted for immediate hire!!!,College point
Floor Plan Measurer: AS-BUILT Drawings $50/hr,"New York, NY"
BOOKKEEPER,MELVILLE
Project Manager/Data Entry,Brooklyn
Project Architect - Construction Company,Brooklyn
"Mechanical, Electrical, Plumbing and Fire Protection Interns needed",Financial District
ARCHITECT Senior/Designer,QUEENS
"Interior Designer Available for Architects, Designers and Developers",
ACI Technician,"NY, NY"
Civil Engineer,"NY, NY"
Facade / Building Envelope Structural Engineer,TriBeCa
Facade / Building Envelope Architect,TriBeCa
Facade / Building Envelope Structural Project Engineer,TriBeCa
Facade / Building Envelope Project Architect,TriBeCa
Construction Estimating Admin/Jr. Estimator,Midtown West
Architectural Draftperson & Assistant,Chinatown / Lit Italy
PLUMBING/FIRE PROTECTION DESIGN ENGINEER,Midtown
Construction Project Manager,Brooklyn
SolidWorks Designer,SoHo
Product Engineering/ Design (Experience with Plumbing Fixtures),SoHo
JUNIOR ARCHITECT,NEW YORK
Junior Architect / Site Surveyor,Midtown East
Construction Inspector (Transportation),Brooklyn
Civil Engineer Computer Estimator Site Work/Heavy Construction,
Specifications Writer,Midtown West
Marketing Coordinator,Midtown West
